J szám,DÁTUM,CÉGNÉV,CÍM,ÜGYFÉL NEVE,MUNKASZÁM,eszköz,Gyáriszám,HIBAJELENSÉG,ELKÉSZÜLÉS ,NYITOTT - 1 LEZÁRT  - 0,MUNKAÓRA,DOLGOZÓ,VÉGZETT MUNKA,FELHASZNÁLT ANYAG,"
JAVÍTÁS HELYE
1-GYÁRTÁS
2-SZÉV
3-EGYÉB",MEGJEGYZÉS,"Javított egység beépítési
helye",Szervízlap száma,Egyéb információk,
T-J00394,2023/01/17,NCT(TAKSONY),Taksony,üzem,M22032,Ai15,D05-11-10299,szorul a tengely,2023/02/08/,0,"0,50",Rákosréti,szétszerelve vissza Fémónak,,1,,,,,
T-J00395,2023/01/19,NCT(TAKSONY),Taksony,üzem,M22006,PDC-3-40-24-R,579-11-4026,led nem világít,2023/02/01/,0,"1,00",,Atvizsgálás,,1,,,,,
T-J00396,2023/01/20,NCT(TAKSONY),Taksony,üzem,M14203,HWM kézikerék,16-1-847,akadozik a kézikerék,2023/02/01/,,,,,,1,,,,,
T-J00397,2023/01/23,NCT(TAKSONY),Taksony,üzem,M21175,MK1904,219-30-0532,akadozik a pótméter,,,,,,,1,,,,,
T-J00398,2023/01/25,NCT(TAKSONY),Taksony,üzem,M22003,HWM kézikerék,16-1-880,akad/kattog (Molnár Sz.),,,,,,,1,,,,,
T-J00399,2023/01/27,NCT(TAKSONY),Taksony,üzem,M22087,DAC-10/20-LT,43B-13-4623,szegecsanya hiányzik (Molnár Sz.),2022/02/08,0,"1,00",Dévai,Ház csere,,1,,,,,
T-J00400,2023/01/30,NCT(TAKSONY),Taksony,üzem,M21174,PDC-3-40-24-R,579-11-4036,lágy indítási hiba (Szabados Gy.),2023/02/06/,0,"2,00",Lovász László,"graetz csere, átvizsgálás",,1,,,,,
T-J00401,2023/01/31,NCT(TAKSONY),Taksony,üzem,M21174,PDC-3-40-24-R,579-11-3875,kondenzátor elfüstölt(Szabados Gy.),2023/02/06/,0,"2,00",Lovász László,"graetz csere, átvizsgálás","2,00",1,gratz  csece Atvizsgálás,,,,
T-J00402,2022/12/05,NCT(TAKSONY),Taksony,üzem,M22154,DSC-20/40-LE,42C-11-6655,"D-sub része kontakt hibás, kis mozdításra jeladóhiba(Szabados Gy.)",,0,"1,00",Dévai,15 pó. D-sub csere,,1,,,,,
T-J00403,2023/04/24,NCT(TAKSONY),Taksony,üzem,M13244,DSC-20/40-LE,42C-11-6316,megégett a zöld phoenix csati(Reskó G.),2023.06.12,0,2,Dévai,"sz.kábel csere, DCU csere Dsub miatt, teszt",,,,,,,
T-J00404,2023/02/03,NCT(TAKSONY),Taksony,üzem,M22031,MK1904,219-30-0531,kulcsos kapcsoló nyák oldali felén (fehér csatinál)hiba(Klötz A.),2022/02/03,0,"1,00",Schmiedmeiszter László,eltőrt dióda csere,1N4148  dióda,1,,,,,
T-J00405,2023/02/13,NCT(TAKSONY),Taksony,üzem,M22144,DPU1504,22354-0254,ethercat kommunikációs hiba (Szabados Gy.),2022/02/13,0,"0,50",Schmiedmeiszter László,nem ez okozta az ETHERCAT hibát,,1,,,,,
T-J00406,2023/02/13,NCT(TAKSONY),Taksony,üzem,M22108,EBI 1135,2EF-EE-0028,Inicializálás hiba (Forrasztás és a csati jó:Szabados Gy.),,,,,,,1,,,,,
T-J00407,2023/02/16,NCT(TAKSONY),Taksony,üzem,M22006,EPU-SYS,100-30-1042,Ethercat kommunkációs hiba(Klötz A.),,,,,,,1,,,,,
T-J00408,2023/02/20,NCT(TAKSONY),Taksony,üzem,M21176,MK1904,219-30-0541,nem lehet kalibrálni a pótmétert(Klötz A.),2022/02/20,0,"0,50",Schmiedmeiszter László,kalibrálás,,1,,,,,
T-J00409,2023/02/21,NCT(TAKSONY),Taksony,üzem,M21176,PDC-3-40-24-R,579-11-4026,nincs visszajelzés(Klötz A.),2023/03/02/,0,"1,00",Lovász László,"hiba nem jelentkezett, átvizsgálás",,1,,,,,
T-J00410,2023/02/22,NCT(TAKSONY),Taksony,üzem,M22034,IPS2,607-10-1184,nem indul el,2023/03/01,0,"2,00",Lovász László,IRF740 2db csere,,1,,,,,
T-J00411,2023/02/22,NCT(TAKSONY),Taksony,üzem,M22144,MK1504,215-30-0195,ethercat csatlakozó letört a nyákról,2022/02/28,0,"1,00",Schmiedmeiszter László,kitört RJ Ethercat csati csere,RJ NR1719 csatlakozó,1,,,,,
T-J00412,2023/02/22,NCT(TAKSONY),Taksony,üzem,M22122,MK1904,219-30-0538,"override hiba, reset hiba",2022/02/28,0,"0,50",Schmiedmeiszter László,leszakadt kábel javítása ,,1,,,,,
T-J00413,2023/03/03,NCT(TAKSONY),Taksony,üzem,M22109,DAC-40/80-RE,43D-12-7140,nem kapcsol be(Klötz A.),,1,,,,,1,javítás után vissza M22134-re,,,,
T-J00414,2023/03/06,NCT,Fogarasi,,,PDC-3-40-24-R,579-11-4026,további vizsgálatra feladva,,1,,,,,1,,,,,
T-J00415,2023/03/20,NCT(TAKSONY),Taksony,üzem,M22037,PRC-3-40-80-R,57C-11-4063,"ventilátor csavarok nem voltak meghúzva, kiestek belőle.1 alátét még valahol benne van.",,0,"1,00",Csabai József,csavarok pótolva,,1,vissza Taksony,,,,
T-J00416,2023/03/22,NCT(TAKSONY),Taksony,üzem,M22109,WEHO LRS-350-48,,A kondik elfüstöltek benne ,,,,,,,3,,,,,
T-J00417,2023/03/22,NCT(TAKSONY),Taksony,üzem,M22109,WEHO LRS-350-48,,A kondik elfüstöltek benne ,,,,,,,3,,,,,
T-J00418,2023/03/28,NCT(TAKSONY),Taksony,üzem,M22164,EPU-SYS,100-30-1421,letörték az egyik szalagkábel fülecskét,,0,"1,00",Schmiedmeiszter László,csati csere,1db 26p. szalagkábel csati,1,Vissza M22164,,,,
T-J00419,2023/05/05,NCT(TAKSONY),Taksony,üzem,M21199,DSC-20/40-LE,42C-11-6540,"szabályozást nem lehet beállítani, nagy áramfelvétel",,,,,,,,,,,,
T-J00420,2023/04/11,NCT (TAKSONY),Taksony,üzem,M22038,DPU1904,23394-0562,USB port nem működik (Szabados Gy.),,0,"0,5",Schmiedmeiszter László,kábel visszadugás,,,,,,,
T-J00421,2023/04/13,NCT(TAKSONY),Taksony,üzem,M22164,PRC-3-40-80-R,57C-11-4060,Nincs üzemkészség visszajelzés(Klötz A.),,0,1,Csabai,,,1,,,,,
T-J00422,2023/04/18,NCT(TAKSONY),Taksony,üzem,M22065,IPS1,606-10-0166,Visszajelző led nem világít(Klötz A.),2023/04/26,0,1,Lovász László,LED csere,,,,,,,
T-J00423,2023/04/20,NCT(TAKSONY),Taksony,üzem,M22125,EPU-SYS,100-30-1402,"Komment a dobozban, amiben visszamegy (Szegedi P.)",,0,"0,5",Schmiedmeiszter László,"nem tapasztaltam a hibát, de több napos teszt alatt",,,,,,,
T-J00424,2023/04/20,NCT(TAKSONY),Taksony,üzem,M22155,IHDW,M22155,Tengely választó kapcsoló el van csúszva (Szabados Gy.),2023/04/21,0,"0,5",Petró F,Kapcsolók újra pozicionálása,,,,,,,
T-J00425,2023/04/24,NCT(TAKSONY),Taksony,üzem,M22006,LC57H2430 léptető motor,M22006,A jeladóból kiolvasott pozíció fizikailag nem mindig ugyanott van(Klötz A.),2023/04/26,0,5,Petró F,"Több órás tesztelés, forgatás alatt a hiba nem jelentkezett, biztonságképp jeladót cserélek",1db Absenc jeladó,,,,,,
T-J00426,2022/10/19,NCT (TAKSONY),Taksony,üzem,M22010,DSC-20/40-RE,42C-12-6710,túlfeszültség hiba(Szabados Gy.) még be van szerelve,,0,"1,00",Dévai,szalagkábel csere,,,,,,,
T-J00427,2023/04/26,NCT(TAKSONY),Taksony,üzem ,M22065,MK1904,219-30-0525,több gomb beragad (Klötz A.),,0,1,Schmiedmeiszter László,"nem tapasztaltam hogy valami is beragna, új klav software égetés",,,,,,,
T-J00428,,,Románia,,,PCD-3-40-24-R,579-11-4007,nem kapcsol be,2023/04/27,0,4,Lovász László,"Panelcsere, ellenőrzés, javítás",,,,,,,
T-J00429,2023/05/03,NCT(TAKSONY),Taksony,üzem,M14224,DIPS-3-40-20-R,772-10-2306,lágy indítási hiba (Szabados Gy.-Szegedi P.),,,,,,,,,,,,
T-J00430,2023/05/03,NCT(TAKSONY),Taksony,üzem,M14224,DIPS-3-40-20-R,772-10-2306,lágy indítási hiba (Szabados Gy.-Szegedi P.),,1,,,,,2,,,,,
T-J00431,2023/05/03,NCT(TAKSONY),Taksony,üzem,egyensúlyozó,DPS-40-24-R,nincs,eldurrant valami benne(Tomana Gergő),,,,,,,,,,,,
T-J00432,2023/05/04,NCT (TAKSONY),Taksony,üzem,M22122,DAC-60/120-RE,43E-12-7144,orsó indításra pukk (Szabados Gy.),2023/05/09,0,2,Csabai József,leselejtezve,,,,,,,
T-J00433,2023/05/04,NCT(TAKSONY),Taksony,üzem,M22122,PRC-3-40-80-R,57C-11-4057,lágyindítási hiba(Szabados Gy.),2023/05/09,0,3,Csabai József,alappanel és IGBT csere,,,,,,,
T-J00434,2022/11/24,NCT(TAKSONY),Taksony,üzem,M21220,DSC-20/40-RE,42C-12-6710,Túlfeszültség hiba (M22025-ben is tesztelték),2022/11/29/,0,"1,00",Dévai,DCU csere,,1,,,,,
T-J00435,2023/05/12,NCT(TAKSONY),Taksony,üzem,M19102,MK1904,219-30-0479,led nem mindenhol világít,2023/05/15,0,,Schmiedmeiszter László,rövidre zárta a tranzisztort egy forgács darab(?),"ellenállás, tranzisztor",1,vissza munkaszámra,,,,
T-J00436,2022/09/05,NCT (TAKSONY),Taksony,üzem,M20166,DSC-40/80-RE,42D-12-6293,IGBT hiba,2022/10/03/,0,"2,00",Csabai,"IGBT csere, meghajtó csere",,,,,,,
T-J00437,2023/05/25,NCT(TAKSONY),Taksony,üzem,M22125,DPB-3-40-160,574-10-3805,motor lassításnál túlfeszültség hiba.A másikkal ugyanilyen beállítással nincs baj(Szegedi P.),,0,3,Csabai,hibát nem találtam átadva labornak,,1,,,,,
T-J00438,2023/05/31,NCT(TAKSONY),Taksony,üzem,M22123,DSC-10/20-LE,42B-11-6937,Főkapcsoló első indításkor túláram hiba (Bene A.),2023.06.12,0,1,Dévai,"419-es szoftverrel jött a hiba, 422-el nem. Labor",,,,,,,
T-J00439,2023/05/31,NCT(TAKSONY),Taksony,üzem,M22035,DSC-20/40-LE,42C-11-7065,"Nem tud pozícionálni, szervo hiba(Szabados Gy.)",2023.06.12,0,1,Dévai,"hiba nem jel, 331-es szoftver cseréje 422-re",,,,,,,
T-J00440,2023/06/12,NCT(TAKSONY),Taksony,üzem,M22134,DSC-20/40-RE,42C-12-5285,Alapjel és eng. után nem forgatja a motort(Fábián I.),,,,,,,,,,,1,
T-J00441,2023/06/12,NCT(TAKSONY),Taksony,üzem,M14299,DSC-20/40-RE,42C-12-4933,Sinfesz. nélkül túlfeszültség hiba(Fábián I.),,,,,,,,,,,1,
T-J00442,2023/06/14,NCT(TAKSONY),Taksony,S&S,,DAC-40/80-LT,43D-13-7072,Molnár Szabolcs vizsgálatra küldi Fekete Lacinak,,1,,,,,3,Fekete Laccinak átadva 06.15-én vizsgálatra,,,,
T-J00443,2023/06/15,NCT(TAKSONY),Taksony,üzem,M22186,EPU-SYS,100-30-1416,relé hiba,,,,,,,,,,,,
T-J00444,2023/06/19,NCT(TAKSONY),Taksony,üzem,M22077,HWMX,HWMX-0009,piros led (Molnár Sz)Smicivel megbeszélte,,,,,,,,,,,,
T-J00445,2023/06/20,NCT (TAKSONY),Taksony,üzem,M21136,EBI 1135,40-70053274-00,jeladó hiba(kábel és a csati jó) Klötz A.,,,,,,,,,,,,
T-J00446,2023/06/22,NCT(TAKSONY),Taksony,üzem,M21135,DSC-10/20-LE,42B-11-6183,ethercat-et nem lehet inícializálni (Szabados Gy.),2023.07.07,,,Dévai,LVDS kártya scere (BGAhiba),,,,,,,
T-J00447,2023/06/28,NCT(TAKSONY),Taksony,üzem,M21137,Ai5-54-40-EH/E,D03-11-10214,jeladó hiba,2023.07.03,,"0,5",Rákosréti József,"jeladókábel csere (fehér betét, érintkezők összetörve)",1db jeladókábel,1,,,,,
T-J00448,2023/06/28,NCT(TAKSONY),Taksony,üzem,M22077,EPU-SYS,100-30-1359,ecat hiba(Molnár Sz.),,,,,,,,,,,,
T-J00449,2023/06/29,NCT(TAKSONY),Taksony,üzem,M19102,PRC-3-40-80-R,57C-11-3944,rossz(Molnár Sz.),,,,,,,,,,,,
T-J00450,2023/07/06,NCT(TAKSONY),Taksony,üzem,M19104,EPU-SYS,100-30-0659,gyors újraindításra nem áll fel az ECAT,,,,,,,,,,,,
T-J00451,2023/07/06,NCT(TAKSONY),Taksony,üzem,M22107,EBI 1135,2EF-EE-0025,jeladóhiba,2023.07.11.,0,"2,00",Petró F.,"Heidenhain csatlakozóban piros vezeték a forrasztás nyakán eltört(a rideg merev saját gyártású kábel), az összes vezeték újra csupaszolva + érvéghüvely kombóval újraforrasztva",,,,,,,
T-J00452,2023/07/06,NCT(TAKSONY),Taksony,üzem,M22198,DSC-20/40-LE,42C-11-7065,"bekapcsolásnál túlterhelés, hangosan csattan(Szabados Gy.)",2023.07.07,,,Dévai,panelnél laza átvezető csavar,,,,,,,
T-J00453,2023/07/07,NCT(TAKSONY),Taksony,üzem,E23074,MK1904,219-30-0587,"több gomb beragad ,pl:Y+,Y-, mozgat üzemmód(Gyéresi Cs.)",,,,,,,,,,,,
T-J00454,2023/07/11,NCT(TAKSONY),Taksony,üzem,M22145,PRC-3-40-80-R,57C-11-4060,"laza az erősáramú csatlakozó, recseg a fojtó(Reskó G.)",,,,,,,,,,,,
T-J00455,2023/07/11,NCT(TAKSONY),Taksony,üzem,M13350,PRC-3-40-80-R,57C-11-3625,járatásra főtáp hiba(Szász D.),,,,,,,,,,,,
T-J00456,2023/08/15,NCT(TAKSONY),Taksony,üzem,M21192,DSC-20/40-RE,42C-12-7302,"Fekete Lacinak küldi Szabolcs (lüktetve megy a tengely, Fekete Laci és K.Gergő vizsgálta)",,,,,,,,,,,1,
T-J00457,2023/08/01,NCT(TAKSONY),Taksony,üzem,M19104,I32S,00E-10-1205,Nem kommunikál. Bevizsgálni,2023.08.14.,0,"3,00",Petró F.,"túlfeszültség kapott, IC12 TPS7233 teteje kinyílt, IC10 ET1100 zárlatos, tesztelés és ellenőrzés, rázatás oké","1db ET1100, 1db TPS7233",,,,,,
T-J00458,2023/08/01,NCT(TAKSONY),Taksony,üzem,M19104,O8RC,034-10-2021,Nem kommunikál. Bevizsgálni,2023.08.15.,0,"3,00",Petró F.,"túlfeszültség kapott, IC9 ET1200 teteje kinyílt, IC10 24LC32 is megkapta azt a feszt, egy relé átmeneti ell., tesztelés és ellenőrzés, rázatás oké","1db ET1200, 1db 24LC32, 1db Omron G6D-1A",,,,,,
T-J00459,2023/08/01,NCT(TAKSONY),Taksony,üzem,M21023,O8RC,034-10-1858,Nem kommunikál. Bevizsgálni,2023.08.15.,0,"3,00",Petró F.,"túlfeszültség kapott, IC9 ET1200 teteje kinyílt, IC10 24LC32 is megkapta azt a feszt, tesztelés és ellenőrzés, rázatás oké","1db ET1200, 1db 24LC32",,,,,,
T-J00460,2023/08/01,NCT(TAKSONY),Taksony,üzem,,O16,006-10-0132,Nem kommunikál. Bevizsgálni,2023.08.14.,0,"3,00",Petró F.,"túlfeszültség kapott, IC12 ET1200 teteje kinyílt, IC2-3 SN74LS273DW hibás melegszik, IC1 24LC32 is megkapta azt a feszt, tesztelés és ellenőrzés, rázatás oké","1db ET1200, 1db 24LC32, 2db SN74LS273DW",,,,,,
T-J00461,2023/08/01,NCT(TAKSONY),Taksony,üzem,,SENS,008-10-0210,Nem kommunikál. Bevizsgálni,2025.10.10.,0,"6,00",Petró F.,"túlfeszültség kapott, IC10 ET1200 és IC9 24LC32 teteje kinyílt, panel a vago csatlakozónál megégett, 1A áramfelvétel, összes ic és kondi meg pár ell. cserélve, tisztítás matricázás, rázatás oké",,,,,,,
T-J00462,2023/08/16,NCT(TAKSONY),Taksony,üzem,M21218,DSC-60/120-RE,42E-12-7196,rossz az X41 csati (Molnár Sz.),,,,,,,,,,,,
T-J00463,2023/08/22,NCT(TAKSONY),Taksony,üzem,M21023,DSC-20/40-LE,42C-11-6446,L55 frame és phys hiba a port 0-án(ecat comm.)Reskó G.,,,,,,,,,,,1,
T-J00464,2023/0824,NCT(TAKSONY),Taksony,üzem,M22204,DAC-60/120-LE,43E-11-7014,"1 napig működött, utána nem kapcsol be.Engedélyezve nem volt, csak a 24V tápot kapta meg(Szegedi Peti)",,0,,,,,1,,,,,
T-J00465,2023/07/05,NCT(TAKSONY),Taksony,üzem ,M22007,"ECAT ENDAT1,8",013-20-0470,jeladó hiba (Balogh J.hozta vissza),2024.03.22.,0,"2,00",Petró F.,"""A"" csatorna nem érzékelte a jeladót, egyből 3 hibakód, IC14 csere után működik egy pár percig, szkópon a jelek nagyon szépek, de aztán tekerésre/ütre vagy magátol eldobja a jeladót, 3-as hibakód, sok helyen a panelen a vezetősáv és lyukgalván barna, mert alámart a lemosófolyadék, SELEJT",SELEJT,1,SELEJT,,,,
T-J00466,2023/08/23,NCT(TAKSONY),Taksony,üzem ,M21192,DSC-60/120-RE,42E-12-7215,árammérés hiba (Molnár Sz.) Fekete Laci elvitte,,,,,,,,,,,,
T-J00467,2023/08/23,NCT(TAKSONY),Taksony,üzem ,M23049,AiS100,CC2-10-5146,remeg a hátulja(Molnár Sz.),,,,,,,,,,,,
T-J00468,2023/08/23,NCT(TAKSONY),Taksony,üzem ,M21023,DSC-10/20-RE,42B-12-6253,jeladó bemenet hibás ,,,,,,,,,,,1,
T-J00469,2023/08/25,NCT(TAKSONY),Taksony,üzem,M23067,PRC-3-40-80-R,57C-11-3535,napi 2x megáll tápegység hibával(Reskó G.),,,,,,,,,,,,
T-J00470,2023/08/18,NCT(TAKSONY),Taksony,üzem,,SENS,008-10-0206,LVDS letört,2023.08.28.,0,"0,50",Petró F.,LVDS csati csere,1db LVDS csati,,,,,,
T-J00471,2023/08/31,NCT(TAKSONY),Taksony,üzem,M22241,PRC-3-40-80-R,57C-11-4068,"1 napig ment, majd bekapcsolás után ismeretlen eszközként jelent meg az ethercat ablakban(Szegedi P.)",,0,,,,,1,,,,,
T-J00472,2023/09/19,NCT(TAKSONY),Taksony,üzem,M23205,DS-36/72-EE,426-10-2673,időnként inicializálási hiba(ReskóG.),,,,,,,,,,,,
T-J00473,2023/09/19,NCT(TAKSONY),Taksony,üzem,M19145,Ai70-Z1 motor,D8A-11-10564,Üt a tengely(Benedek P.),,,,Rákosréti József,"jeladó lebontás, vissza Csapónak",,,,,,,
T-J00474,2023/09/28,NCT(TAKSONY),Taksony,üzem,M19145,Ai70-Z1 motor,D8A-11-10562,erősen arretál(Benedek P.),,,,,,,,,,,,
T-J00475,2023/09/28,NCT(TAKSONY),Taksony,üzem,M22153,PRC-3-40-80-R,57C-11-4089,ethercat nem jó(Domokos A.),,,,,,,,,,,,
T-J00476,2023/10/12,NCT(TAKSONY),Taksony,üzem,M23064,PDC-3-40-24-R,579-11-4095,fordítva dugták be a szerelők a betáp és fékellenállás csatlakozót(Szegedi P.),,,,,,,,,,,,
T-J00477,2023/10/27,NCT(TAKSONY),Taksony,üzem,M23087,SMI2,037-30-156,Az ethercat összeomlik tőle(Grimm J.),2023.11.23.,0,"1,00",Petró F.,"nem tapasztalt hiba, teszt oké, rázatón is oké, 25MHz oké, ET1200 újra forrasztása",,,,,,,
T-J00478,2023/10/27,NCT(TAKSONY),Taksony,üzem,M22244,EPU-SYS,100-30-0960,narancssárga Wago csati utolsó eleméből letört egy db,2023.11.21.,0,"0,50",Petró F.,wago műanyag rész bontásból cserélve,,,,,,,
T-J00479,2023/11/07,NCT(TAKSONY),Taksony,üzem,M22153,I32S,00E-10-1384,31-es pontja nem működik (Szegedi P.),2023.11.22.,0,"2,00",Petró F.,"tap hiba, ET1100 hiba, nem forrasztás probléma",1db ET1100 IC,,,,,,
T-J00480,2023/11/07,NCT(TAKSONY),Taksony,üzem,M22153,EPU-SYS,100-30-1376,több alkalommal hibát okozott(Szegedi P.),2023.11.29.,0,"2,00",Petró F.,"tap hiba, teszt oké volt, csavarás ütésre is oké volt, rázás 2nap végén mozgatásra a mögötte lévő sens kártyán frame hiba 150, ET1100 hiba, csere után rázás ütés oké",1db ET1100 IC,,,,,,
T-J00481,2023/11/10,NCT(TAKSONY),Taksony,üzem,M22244,klav.kártya,3-3-1828,ECAT PHYS hiba gyüjtés Kiss Józsinak küldve (Molnár Sz.),2023.12.15.,0,"2,00",Petró F.,"több napos treszt a rázatón, hiba nem tapasztalható",,3,,,,,
T-J00482,2023/11/15,NCT(TAKSONY),Taksony,ügyfélnél,M13350,DSC-40/80-RE,42D-12-5211,Y servo hiba(Szászi D.),,1,,,,,1,,,,,
T-J00483,2023/11/16,NCT(TAKSONY),Taksony,üzem,M10114,IPS1,606-10-1259,nem kapcsol be,,1,,,,,1,,,,,
T-J00484,2023/11/17,NCT(TAKSONY),Taksony,üzem,M22012,DSC-10/20-LE,42B-11-7075,"folyamatosan jeladó hibát jelez, előtte napokig jó volt(Reskó G.)",,,,,,,,,,,,
T-J00485,2023/11/17,NCT(TAKSONY),Taksony,üzem,M22015,klav.kártya,3-3-1854,letörték az egyik RJ csatit ,2024.02.14.,0,"1,50",Petró F.,"RJ csatlakozó csere, szoftver frissítés, teszt és rázás oké",,,,,,,
T-J00486,2023/11/17,NCT(TAKSONY),Taksony,üzem,M21177,MRE,15-3-1854,"kattok, szorul. Törött?",2023.11.22.,0,"0,50",Petró F.,"a lamellák elgörbültek ez által súrlódott, valszeg leesett, javítva",,,,,,,
T-J00487,2023/11/17,NCT(TAKSONY),Taksony,üzem,,EPU-SYS,100-30-225,Ellenőrzés,2023.11.27.,0,"1,00",Petró F.,"teszt oké, rázás egész hétvége oké",,,,,,,
T-J00488,2023/11/28,NCT(TAKSONY),Taksony,üzem,M22148,PRC-3-40-80-R,57C-11-4016,RJ aljzat hiba,,,,,,,,,,,,
T-J00489,2023/11/29,NCT(TAKSONY),Taksony,üzem,M21088,DAC-20/40-LT,43C-13-6524,IGBT engedélyezés után leveri a fi relét(Szegedi P.),,,,,,,,,,,,
T-J00490,2023/11/29,NCT(TAKSONY),Taksony,,M22148,PRC-3-40-80-R,57C-11-4016,Nincs táp,2023.11.30,0,2,Csabai,Táp IC csere,,,,,,,
T-J00491,2023/12/13,NCT(TAKSONY),Taksony,üzem,M23148,IHDW,,"használt gép , IHDW kábele törött",,,,,,,,,,,,
T-J00492,2023/12/21,NCT(TAKSONY),Taksony,üzem,M22134,DSC-10/20-RE,42B-12-6895,RJ aljzat bizonytalan,,,,,,,,,,,,
T-J00493,2024/02/01,NCT(TAKSONY),Taksony,üzem,M23002,DAC-40/80-LE,43D-11-7202,"nem kapcsol be (se kép, se hang) Becsei Péter",,,,,,,,,,,,
T-J00494,2024/02/02,NCT(TAKSONY),Taksony,üzem,M22006,Ai15,D05-10-10556,nagyon zörög (Molnár Sz.) ,,,,,,,,,,,,
T-J00495,2024/02/05,NCT(TAKSONY),Taksony,üzem,M21132,EPU-SYS,100-30-203,nem működik(Reskó G.),,,,,,,,,,,,
T-J00496,2024/02/05,NCT(TAKSONY),Taksony,üzem,M23095,DSC-20/40-RE,42C-12-7132,elfüstölt ,,,,,,,,,,,,
T-J00497,2024/02/05,NCT(TAKSONY),Taksony,üzem,M23095,DSC-20/40-RE ,42C-12-7321,elfüstölt ,,,,,,,,,,,,
T-J00498,2024/02/07,NCT (TAKSONY),Taksony,üzem,M23095,DSC-20/40-RE,42C-12-7320,"ez is elfüstölt,eddig a Z hajtást nem vizsgálták, ma azt is szétszedték",,,,,,,,,,,,
T-J00499,2024/02/05,NCT (TAKSONY),Taksony,üzem,M23002,DAC-40/80LE,43D-11-7202,se kép se hang ,2024.02.09,0,2,Csabai,Táp IC csere,,,,,,,
T-J00500,2024/02/13,NCT(TAKSONY),Taksony,üzem,M23031,DAC-60/120-LT,43E-13-7344,X44 csati benyomódik,,,,,,,,,,,,
T-J00501,2024/02/15,NCT(TAKSONY),Taksony,üzem,M22208,O8RC kártya,034-10-2392,A 7-es relé érinkező nem működik(valószínűleg beégett)Reskó G.,2024.02.29.,0,"1,00",Petró F.,"a relé működött, de a wago csatiig nem jutott el, a relé és wagocsati közötti vezetőréteg elégett, vezetősáv pótlása után jól működött az értékek is jók, de azért relé csere.",1db Omron G6D-1A-ASI,,,,,,
T-J00502,2024/02/23,NCT(TAKSONY),Taksony,üzem,M23002,DAC-40/80-LE,43D-11-7071,vmi búg benne,,,,,,,,,,,,
T-J00503,2024/02/23,NCT(TAKSONY),Taksony,üzem,M13205,EPU-SYS,100-30-1288,ethercat hibára gyanakodnak(Szegedi Peti),,,,,,,,,,,,
T-J00504,2024/02/27,NCT(TAKSONY),Taksony,üzem,M22222,ENDAT kártya,013-60-2346-0042,inicializálási hiba(Gyéresi Cs.),2024.02.29.,0,"1,00",Petró F.,"TwinCat nehezen ismerte fel (Endatnak), PREOP mód hibát dobott, run LED nem világított, jeladókat nem látta, 3-as hibakód, csavarásra nyomásra sem változott, EEPROM újraírása után tökéletesen működik, teszt rázás oké",,,,,,,
T-J00505,2024/02/28,NCT(TAKSONY),Taksony,üzem,,DAC 40-80,43 D-11-7071,búg,"2024.02,28",0,2,Csabai,kondenzátor csere,,,,,,,
T-J00506,2024/03/14,NCT(TAKSONY),Taksony,üzem,M23090,DSC-10/20-LE,42B-11-7435,DC szinkron hiba (Szegedi P.),,,,,,,,,,,,
T-J00507,2024/03/14,NCT(TAKSONY),Taksony,üzem,M23036,DAC-40/80LE,43D-11-7134,"ki-be kapcsolgat, hiba ismeretlen (Szegedi P.)",2024. 03. 09,0,2,Csabai ,táp zárlat. panel csere,,,,,,,
T-J00508,2024/04/10,NCT(TAKSONY),Taksony,üzem,M23121,EPU-R,004-20-0103,betáp zárlatos,,,,,,,,,,,,
T-J00509,2024/04/15,NCT(TAKSONY),Taksony,üzem,M21132,IPS2,607-10-1277,elengedett a doboz a felfogató fül felöli oldalon (Reskó G.),,,,,,,,,,,,
T-J00510,2024/04/18,NCT(TAKSONY),Taksony,üzem,M23121,EPU-SYS,100-30-2335-1546,NV-RAM hiba(Reskó G) Elek Ati várja,,,,,,,,,,,,
T-J00511,2024/05/07,NCT(TAKSONY),Taksony,üzem,M23046,ECAT-O4RMC,31-1-0238,Nem látja a FE1 (Domokos A.),,,,,,,,,,,,
T-J00512,2024/05/07,NCT(TAKSONY),Taksony,üzem,M19145,IPS2,507-10-1387,IPS doboz javítás,,,,,,,,,,,,
T-J00513,2024/05/31,NCT(TAKSONY),Taksony,üzem,M23023,MK1904 (klaviatúra),219-30-0580,pótmétert kalibrálni kell(Reskó G.),,,,,,,,,,,,
T-J00514,2024/06/05,NCT(TAKSONY),Taksony,üzem,M23092,"19"" vezérlő ",23395-0620,"érintőkijelző nem működik , várjuk javítás után vissza(Reskó G.)",,,,,,,,,,,,
T-J00515,2024/06/12,NCT(TAKSONY),Taksony,üzem,,MK1504 (klaviatúra),215-30-0166,100% gomb nem világít,2024.06.12.,0,"0,50",Petró,"L134-es LED-ek csak nagyon halványan világítanak, műszer ell.állásban bármelyik irányban szakadás mérhető, dióda állásban ugyanez a helyzet, kiforrasztott LED-eknél szintén szakadás mérhető, LED teszterrel nézve a kiforrasztott LED-eket: 1db halvány, 2db nagyon halvány, 1db megszakadt és nem világít már, 4db LED kicserélése után hibátlanul működik",4db fehér LED,,,,,,
